Time	s	d	o
-----------------------------
0	00	0000	0
1	00	0001	0
2	00	0010	0
3	00	0011	0
4	00	0100	0
5	00	0101	0
6	00	0110	0
7	00	0111	0
8	00	1000	1
9	00	1001	1
10	00	1010	1
11	00	1011	1
12	00	1100	1
13	00	1101	1
14	00	1110	1
15	00	1111	1
16	01	0000	0
17	01	0001	0
18	01	0010	0
19	01	0011	0
20	01	0100	1
21	01	0101	1
22	01	0110	1
23	01	0111	1
24	01	1000	0
25	01	1001	0
26	01	1010	0
27	01	1011	0
28	01	1100	1
29	01	1101	1
30	01	1110	1
31	01	1111	1
32	10	0000	0
33	10	0001	0
34	10	0010	1
35	10	0011	1
36	10	0100	0
37	10	0101	0
38	10	0110	1
39	10	0111	1
40	10	1000	0
41	10	1001	0
42	10	1010	1
43	10	1011	1
44	10	1100	0
45	10	1101	0
46	10	1110	1
47	10	1111	1
48	11	0000	0
49	11	0001	1
50	11	0010	0
51	11	0011	1
52	11	0100	0
53	11	0101	1
54	11	0110	0
55	11	0111	1
56	11	1000	0
57	11	1001	1
58	11	1010	0
59	11	1011	1
60	11	1100	0
61	11	1101	1
62	11	1110	0
63	11	1111	1
